site_num,bmp_type,landscape_position,region,soil_type_general,soil_texture_group,tillage_general,operation_type,calendar_year,treatment,soil_zone,rep,grid_year,ace,active_c,agg_stability,bulk_density,cec,k,mg,om,p,ph,pmn,slan,solvita
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,A,1,1-1-A-2020,,559,84.3,1.128441747,20.08,111.14,249.97,4.3,6.19,5.99,19.51,150.5,81.6
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,A,2,1-1-A-2020,,388,85.7,1.223175129,19.28,114.24,266.7,4.3,7.96,5.88,17.81,112,64.7
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,A,3,1-1-A-2020,,397,81.6,1.145159403,20.13,127.82,286.57,4.7,7.3,5.93,15.39,126,67.4
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,B,1,1-1-B-2020,,344,85.7,1.106848109,18.29,137.81,233.01,4.5,8.47,5.86,26.2,129.5,67.4
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,B,2,1-1-B-2020,,324,86,1.012811297,18.15,124.11,224.61,4.7,7.88,5.91,22.34,126,66
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,B,3,1-1-B-2020,,346,76.1,1.384779132,17.41,129.62,229.79,5,10.64,5.91,23.64,136.5,70.2
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,C,1,1-1-C-2020,,484,81.4,1.083861333,15.13,110.99,214.22,4.3,9.49,6.19,8.77,122.5,72.8
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,C,2,1-1-C-2020,,391,80,1.1744153,15.6,92.02,206.39,5,7.49,6.11,5.23,101.5,66
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,1,C,3,1-1-C-2020,,330,85.6,1.255913871,21.49,119.01,228.86,4.7,9.08,6.04,7.04,133,81.4
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,A,1,1-2-A-2020,,331,80.4,1.198098645,14.5,116.56,284.66,5.2,8.37,6.15,17.35,108.5,68.6
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,A,2,1-2-A-2020,,337,76.4,1.21551287,16.74,121.07,249.58,4.3,10.65,5.81,18.92,101.5,62.9
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,A,3,1-2-A-2020,,402,83.7,1.18138099,16.65,151.29,260.12,4.7,14.24,6.03,17.12,91,68.8
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,B,1,1-2-B-2020,,399,71.9,1.127745178,16.94,132.12,259.91,4.1,7.78,6.54,15.98,115.5,66.3
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,B,2,1-2-B-2020,,342,72.5,1.159090782,17.78,144.42,249.24,5.2,5.98,6.02,22.71,108.5,32.9
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,B,3,1-2-B-2020,,441,74.1,1.136104006,20.23,142.99,264.63,5.4,4.32,5.96,18.81,105,68.6
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,C,1,1-2-C-2020,,478.7,80.3,1.239196215,18.35,109.95,240.06,4.7,10.95,6.29,15.25,119,68.6
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,C,2,1-2-C-2020,,392,84.4,1.16048392,21.99,126.44,251.91,5,17.95,6.09,17.29,126,74.5
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,2,C,3,1-2-C-2020,,391,85.1,1.196705507,23.52,136.64,243.14,5.2,20.55,5.94,20.17,150.5,66
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,A,1,1-3-A-2020,,344,65.7,1.289349182,17.01,123.07,240.68,4.7,7.76,6.02,16.16,77,64.7
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,A,2,1-3-A-2020,,325,67.5,1.251037888,16.48,120.37,248.55,5,4.98,5.99,16.06,87.5,62.9
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,A,3,1-3-A-2020,,336,72,1.113813799,13.03,115.37,240.43,5,5.87,6.1,16.21,73.5,64.5
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,B,1,1-3-B-2020,,324,73.3,1.177898145,14.98,124.64,249.02,5.2,5.63,6.27,13.49,108.5,68.8
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,B,2,1-3-B-2020,,389,78.7,1.145855972,17.48,132.22,260.09,5.4,6.62,6.08,14.88,108.5,66.3
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,B,3,1-3-B-2020,,346,83.2,1.102668695,17.74,124.83,229.73,5.2,3.41,6.04,22.91,112,63.3
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,C,1,1-3-C-2020,,514,80.8,1.119386351,23.58,124.18,231.49,5.4,10.5,5.94,25.3,147,65.8
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,C,2,1-3-C-2020,,360,76.4,1.150731955,22.9,118.64,214.1,4.7,10.64,5.87,21.08,115.5,60.5
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,3,C,3,1-3-C-2020,,392,86.3,1.164663334,24.27,124.53,217.84,5,16.03,5.69,21.34,157.5,63.3
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,A,1,1-4-A-2020,,371.2,81.8,1.1946158,17.35,121.62,248.95,5,9.64,6,16.22,122.5,64.5
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,A,2,1-4-A-2020,,334.5,85.4,1.243375629,13.8,111.69,270.02,5.2,7.78,6.1,18.99,119,68.8
1,pretrial,Lower,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,A,3,1-4-A-2020,,301.4,83.2,1.227354542,17.41,115.09,238.67,4.7,8.17,6.05,15.31,101.5,63.1
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,B,1,1-4-B-2020,,300.5,89.1,1.209243749,16.87,120.75,283.66,5.2,6.57,6.44,7.2,119,66.3
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,B,2,1-4-B-2020,,439.8,82.9,1.090130453,16.89,124.67,286.8,5,6.39,6.49,17.15,140,66
1,pretrial,Mid,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,B,3,1-4-B-2020,,511.1,80.6,1.321391355,17.33,141.3,332.23,5,7,6.78,18.98,115.5,69
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,C,1,1-4-C-2020,,299,78.4,1.246858474,16.65,105.12,271.26,4.5,8.58,6.41,19.74,126,58.7
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,C,2,1-4-C-2020,,392,77.4,1.274721233,20.61,96.04,201.23,4.7,7.84,5.8,19.1,108.5,57.6
1,pretrial,Upper,Lake Erie West,clay loam,Fine,no-till,crop,2020,4,C,3,1-4-C-2020,,452,84.3,1.305370268,20.27,96.7,224.21,5,8.68,5.99,15.16,101.5,61.7
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,A,1,2-1-A-2020,,253,53.6,1.48160222,6.62,148.46,156.49,3.2,19.28,6.24,1.22,56,65.8
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,A,2,2-1-A-2020,,160.7,59.3,1.437718374,6.41,103.16,136.24,2.5,19.83,6.02,0.98,45.5,65.8
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,A,3,2-1-A-2020,,122,70.3,1.223175129,6.45,128.25,145.4,2.5,23.94,6.11,2.01,45.5,69
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,B,1,2-1-B-2020,,165.9,51.9,1.417517874,7.37,197.93,149.71,2.7,25.85,6.05,1.61,70,70.2
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,B,2,2-1-B-2020,,167.4,38.6,1.514340962,7.95,199.85,125.43,2.5,27.58,5.86,3.26,63,65.8
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,B,3,2-1-B-2020,,162.2,45.8,1.3450747,7.94,195.89,157.09,2.5,32.65,5.94,3.65,66.5,68.8
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,C,1,2-1-C-2020,,316.4,39.9,1.478815944,10.22,107.04,249.58,2.7,15.02,7.05,2.1,45.5,67.4
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,C,2,2-1-C-2020,,394.8,41.8,1.33114332,9.9,119.69,247.04,2.7,22.44,6.8,2.66,59.5,72.9
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,1,C,3,2-1-C-2020,,351.1,36.3,1.441201219,10.38,101.24,228.59,3.2,9.33,6.66,6.35,63,72.8
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,A,1,2-2-A-2020,,258.1,62.5,1.355523235,8.36,161.52,154.9,2.3,21.9,7.31,0.13,52.5,64.7
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,A,2,2-2-A-2020,,255.8,62.1,1.219692284,8.75,212.9,164.12,2.5,27.05,7.31,2.18,56,66.3
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,A,3,2-2-A-2020,,305.8,59.1,1.189739818,8.28,171.45,167.13,2.3,21.56,7.3,1.03,49,66.3
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,B,1,2-2-B-2020,,212.4,47.2,1.505285565,10.4,185.87,200.82,2.7,28.53,5.97,7.18,73.5,63.1
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,B,2,2-2-B-2020,,204.7,48.7,1.459312013,11.14,176.39,192.21,2.7,25.75,5.94,5.27,66.5,62.9
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,B,3,2-2-B-2020,,299,44.6,1.458615444,8.72,153.63,213.72,2.5,18.31,6.47,4.55,63,68.8
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,C,1,2-2-C-2020,,725.2,61.6,1.129138316,16.67,187.69,365.48,5,19.89,7,8.74,164.5,76.1
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,C,2,2-2-C-2020,,721.7,54.6,1.248948181,17.71,160.15,391.97,4.7,21.09,7.09,3.2,150.5,75.9
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,2,C,3,2-2-C-2020,,720.3,51.4,1.307459975,15.42,226.11,317.29,4.5,25.65,7.13,7.58,115.5,76.1
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,A,1,2-3-A-2020,,316.5,55.8,1.370847752,6.72,83.47,147.63,2.5,34.64,6.65,1.1,56,65.8
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,A,2,2-3-A-2020,,280.9,60.7,1.54986598,6.78,125.26,139.03,2.5,30.47,6.48,2.72,59.5,66
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,A,3,2-3-A-2020,,351.6,60.5,1.641813085,6.54,109.15,136.81,2.3,25.59,6.72,1.32,52.5,65.8
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,B,1,2-3-B-2020,,421.7,49.8,1.486478203,9.17,188.31,224.88,3.4,52.42,6.1,5.04,87.5,68.6
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,B,2,2-3-B-2020,,351.7,49.9,1.460008582,13.93,133.58,188.58,2.9,56.13,5.86,4.58,84,63.3
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,B,3,2-3-B-2020,,933.8,45.4,1.533148325,15.92,205.34,175.85,3.4,48.06,5.61,3.4,101.5,62.9
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,C,1,2-3-C-2020,,397.1,53.4,1.356916373,9.87,73.31,186.07,3.6,15.51,6.84,2.95,115.5,72.9
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,C,2,2-3-C-2020,,985.9,61.6,1.20854718,9.61,81.53,176.44,3.4,11.33,6.5,2.92,122.5,76.1
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,3,C,3,2-3-C-2020,,491,52.9,1.417517874,9.19,127.17,180.77,3.2,28.39,6.81,2.61,91,75.7
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,A,1,2-4-A-2020,,320.9,53.6,1.557528239,8.68,106.11,194.62,2.5,25.73,6.44,1.97,73.5,66.3
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,A,2,2-4-A-2020,,466.1,53.7,1.486478203,9.2,96.26,194.52,2.7,23.12,6.6,4,87.5,74.5
2,pretrial,Upper,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,A,3,2-4-A-2020,,431.1,51.5,1.584694429,8.29,129.57,189.51,2.5,23.18,6.64,2.3,105,70.4
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,B,1,2-4-B-2020,,571.1,60.7,1.482298789,14.75,118.38,271.51,3.4,31.99,7.06,1.46,98,68.8
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,B,2,2-4-B-2020,,574.9,44.7,1.489264479,12.01,119.78,244.24,3.6,30.05,6.2,4.47,115.5,72.9
2,pretrial,Lower,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,B,3,2-4-B-2020,,566,48,1.503195858,12.26,143.19,260.1,3.6,37.03,6.51,3.52,101.5,72.8
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,C,1,2-4-C-2020,,533.4,67,1.363185494,9.5,109.15,163.46,3.4,23.48,7.17,3.77,70,69
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,C,2,2-4-C-2020,,538.3,54.2,1.330446751,10.24,134.68,170.93,3.2,26.62,7.3,4.34,84,75.9
2,pretrial,Mid,Lake Erie West,very fine sandy loam,Medium,zone,crop,2020,4,C,3,2-4-C-2020,,460.1,53.8,1.25661044,9.92,154.01,171.49,2.9,29.1,7.07,1.17,84,67.4
3,pretrial,Lower,Lake Erie West,fine sand,Coarse,zone,crop,2020,1,A,1,3-1-A-2020,,854.3,77.6,1.308156544,18.44,189.94,193.35,7,21.25,7.53,3.01,191,62.9
